title,body
12/31,"For Time
31 Push Presses (75/55 lb)
31 Pull-Ups
31 Snatches (75/55 lb)
31 Sit-Ups
31 Toes-to-Bars
31 Push-Ups
31 Box Jumps (24/20 in)
31 Back Squats (75/55 lb)
31 Unbroken Double-Unders
31 Thrusters (75/55 lb)
31 Lunges
31 Burpees

Then, 365 meter Row"
1291 - dr Rütlischwur,"AMRAP in 60 minutes
12 Power Cleans (60/45 kg)
91 Air Squats
200 meter Plate Carry*"
13 Heroes of Kabul,"AMRAP in 26 minutes
31 Double-Unders
25 Pull-Ups
23 Push-Ups
23 Air Squats
23 AbMat Sit-Ups
22 Kettlebell Swings (53/35 lb)
22 calorie Row
22 Toes-to-Bars
20 Wall Ball Shots (20/14 lb)
20 Box Jumps (24/20 in)
20 Alternating Dumbbell Snatches (50/35 lb)
20 Burpees
20 Dumbbell Thrusters (2x50/35 lb)

Cash-Out: 3 minute Plank Hold"
13 Squad Deep,"13 Rounds for Time
8 calorie Echo Bike
26 Box Jump Overs (24/20 in)
1 Deadlift (275/205 lb)"
13E RDP,"For Time
3,200 meter Weighted Run (20/14 kg)
50 Pull-Ups
100 Push-Ups
100 Air Squats"
1603,"9 Rounds for Time 
6 Deadlifts (185/155 lb)
30 calorie Row 
17 American Kettlebell Swings (54/35 lb)

Time Cap: 32 minutes"
1775,"AMRAP in 60 minutes
17 Power Cleans (135/95 lb)
75 Air Squats

At the end of each round, unload the barbell and carry it 200 meters away. Return to the plates and then carry one forward to the barbell. Retrieve the second plate, carry it forward and reload the barbell for the next round."
1776,"4 Rounds For Time
17 Overhead Walking Lunges (45/25 lb Plate)
7 Ring Dips
6 Thrusters (135/95 lb)"
18,"21-15-9 Reps for Time of:
Dumbbell Snatches (50/35 lb)
Over-Dumbbell Burpees"
1810,"5 Rounds for Time
25 Double-Unders
18 Burpees Box Jump Overs (24/20 in)
10 Dumbbell Walking Lunges (2x22.5/15 kg)

Immediately after, AMRAP in 9 minutes:
25 Power Cleans (40/30 kg)
5 Push Presses (40/30 kg)
18 Front Squats (40/30 kg)
10 Bar Over Burpees"
19 S-MX,"For Time
19 D-Ball Squats (80/60 lb)
9 Cleans (165/115 lb)
17 Chest-to-Bar Pull-Ups
85 calorie Air Bike
13 Deadlifts (185/130 lb)
14 Burpees Over the Bar
40 Alternating Dumbbell Snatches (50/35 lb)

Wear a weight vest (20/14 lb)"
19's Heroes,"For Time
100 Double-Unders
90 Superman Holds
80 Shotguns
70 Jumping Lunges
60 Reverse Snow Angels
50 Handstand Push-Ups
60 Reverse Snow Angels
70 Jumping Lunges 
80 Shotguns
90 Superman Holds
100 Double-Unders"
1945,"For Time
45 Left-Arm Overhead Kettlebell Lunges (24/16 kg)
45 Toes-to-Bars
45 Goblet Squats (24/16 kg)
45 Pull-Ups
45 Alternating Kettlebell Snatches (24/16 kg)
45 calorie Row
45 Right-Arm Overhead Kettlebell Lunges (24/16 kg)"
1ER RCP,"AMRAP in 20 minutes
100 meter Sprint
20 Burpees
25 AbMat Sit-Ups
10 Squat Jumps"
1k Row,"For Time
1,000 meter Row"
1LT Derek Hines,"For Total Reps (with a Partner)
Buy-In with a Buddy:
50 Push-Ups
50 Sit-Ups
50 Air Squats

Then, EMOM for 25 minutes of:
100 meter Shuttle Run (50 meters out, 50 meters back)
Plank Hold

Switch as needed.

Cash-Out with a Buddy:
50 Air Squats
50 Sit-Ups
50 Push-Ups"
1LT S. Chase Prasnicki,"Part A:
2 mile Run

Part B: 
Tabata (:17 ON /:3 OFF/ 6 Rounds)
Burpees
Sit-Ups
Air Squats
Push-Ups
Flutter Kicks
Mountain Climbers

Part C:
3:30 Accumulated Plank Hold"
1RM Jerk,"For Load
1 rep max Jerk

Time Cap: 6 minutes"
1RM Power Clean,"For Load
1 rep max Power Clean"
1RM Squat Clean,"For Load
1 Rep Max Squat Clean"
200411,"For Time
100 Double-Unders
21 Burpees
75 Double-Unders
15 Burpees
50 Double-Unders
9 Burpees"
2007,"For Time
1,000 meter Row
Then, 5 rounds of:
25 Pull-Ups
7 Push Jerks (135/85 lb)

Time Cap: 15 minutes"
2018 Handstand Walk,"For Time
50 Heavy-Rope Double-Unders

Then, Handstand Walk through the following obstacles:
Pylon Slalom
Ramps
Stairs
Parallel Bars

Time Cap: 4 minutes"
2021,"For Time
20-21 reps of:
Thrusters (115/80 lb)
Calorie Row
Pull-Ups
Calorie Row
Power Cleans (115/80 lb)
Ring Dips
Calorie Row"
21 Guns,"AMRAP in 21 minutes
400 meter Run
21 Push-Ups
21 Box Jumps (24/20 in)
15 Burpees
9 Pull-Ups"
21-15-9,"For Time
21 calorie Ski
15 Bar Facing Burpees
9 Overhead Squats (100/65 kg)

Time Cap: 7/8 minutes"
21-15-9 Complex,"For Time
8 Deadlifts (155/105 lb)
7 Cleans (155/105 lb)
6 Snatches (155/105 lb)
8 Pull-Ups
7 Chest-to-Bar Pull-Ups
6 Bar Muscle-Ups

6 Deadlifts  (155/105 lb)
5 Cleans  (155/105 lb)
4 Snatches  (155/105 lb)
6 Pull-Ups
5 Chest-to-Bar Pull-Ups
4 Bar Muscle-Ups

4 Deadlifts (155/105 lb)
3 Cleans (155/105 lb)
2 Snatches (155/105 lb)
4 Pull-Ups
3 Chest-to-Bar Pull-Ups
2 Bar Muscle-Ups"
215 Children,"For Time
2,150 meter Run
21 Air Squats
5 Burpees
21 Shoulder Presses (2x50/35 lb)
5 Burpees
21 Lunges
5 Burpees
21 Bicep Curls (2x50/35 lb)
5 Burpees
2,150 meter Run
2:15 Plank Hold
1 Push-Up
9 Unbroken Push-Ups
9 Unbroken Push-Ups
6 Unbroken Push-Ups"
215 Innocent Children,"For Time
215 Double-Unders
21 Handstand Push-Ups
5 Clean-and-Jerks (135/95 lb)
21 Burpees
5 Clean-and-Jerks (135/95 lb)
21 Box Jumps (24/20 in)
5 Clean-and-Jerks (135/95 lb)
21 Kettlebell Swings (53/35 lb)
5 Clean-and-Jerks (135/95 lb)
21 Lunges
5 Clean-and-Jerks (135/95 lb)
21 Pull-Ups
5 Clean-and-Jerks (135/95 lb)
21 Medicine Ball Squat Cleans (20/14 lb)
5 Clean-and-Jerks (135/95 lb)
21 Toes-to-Bars
5 Clean-and-Jerks (135/95 lb)
1,996 meter Row"
2223 Intervals,"For Time
Three 2-minute intervals, then one 3-minute interval of:
2 Rope Climbs
10/7 calorie SkiErg
Max Overhead Squats (155/105 lb)

Then, 1 minute Rest

Time Cap: 12 minutes"
23/04,"4 Rounds for Time
23 Single-Arm Kettlebell Swings (20/16 kg)
23 Single-Arm Kettlebell Overhead Squats (20/16 kg)
23 Burpee Box Jumps (24/20 in)
23 Ball Slams (20/16 kg)"
2k Row,"For Time
2,000 meter Row"
3 Brazilian Heroes,"3 Rounds for Time
200 meter Run
100 Jumping Jacks
200 meter Run
50 Pull-Ups
200 meter Run
100 Sit-Ups
200 meter Run
100 Air Squats
200 meter Run"
30 Caliber,"For Time
30 calorie Assault Air Bike
30 Box Jumps (24/20 in)
30 Kettlebell Swings (53/35 lb)
30 Jumping Pull-Ups
30 Push Presses (43/35 lb)
30 Knees-to-Elbows
30 Wall Ball Shots (20/14 lb)
30 Back Extensions
30 Burpees
30 Lunges
30 calorie Assault Air Bike"
30 for 30,"For Time
25 calorie Bike Erg
15 Bar Muscle-Ups
30 Clean-and-Jerk (65/45 kg)

Time Cap: 7 minutes"
30 Muscle-Ups,"For Time
30 Muscle-Ups"
300 (2018),"10 Rounds for Time
5 Strict Chest-to-Bar Pull-Ups
10 “X” Dumbbell Movement (70/50 lb)
15 GHD Sit-Ups

Round 1 – Dumbbell Push Press
Round 2 – Dumbbell Burpees
Round 3 – Dumbbell Power Cleans
Round 4 – Dumbbell Bench Press
Round 5 – Dumbbell Lunge Steps
Round 6 – Dumbbell Front Squats
Round 7 – Dumbbell Bent Over Rows
Round 8 – Alternating Dumbbell Snatches
Round 9 – Dumbbell Deadlifts
Round 10 – Dumbbell Thrusters"
31 Heroes,"AMRAP (with a Partner) in 31 minutes
Partner A performs AMRAP of:
8 Thrusters (155/105 lb)
6 Rope Climbs (15 ft)
11 Box Jumps (30/24 in)

While Partner B performs:
400 meter Sandbag Run (45/25 lb)

Partners switch after each Run."
32,"4 Rounds for Time
4 Rope Climbs (15 ft)
9 Wall Ball Sit-Ups (20/14 lb, 5 ft target)
12 Thrusters (100/70 lb)
400 meter Weighted Run*

Round 1 Run with plates (2x25/15 lb)
Round 2 Run with barbell (45/35 lb)
Round 3 Run with plates (2x25/15 lb)
Round 4 Run with barbell (45/35 lb)"
34 Strong,"For Time (with a Partner)
Buy In: 34 calorie Row (each)

Then, each partner completes (one partner working at a time):
10 Ring Muscle-Ups
6 Squat Snatches (135/95 lb)
12 Bar Muscle-Ups
6 Squat Cleans (185/125 lb)

Then, as a team complete:
15 Synchronized Chest to Bar Pull-Ups
2 Power Snatches (155/105 lb)
15 Synchronized Pull-Ups
2 Power Cleans (225/155 lb)

Time Cap: 15 minutes"
343,"For Time
100 Deadlifts (135/95 lb)
100 Power Cleans (95/65)
100 Ground-to-Overheads (65/45 lb)
43 Burpees"
343 Tribute,"AMRAP in 20 minutes
3 Muscle-Ups
4 Power Cleans (225/135 lb)
3 Front Squats (225/135 lb)"
3D Remembrance Day,"AMRAP in 18 minutes
11 Hang Power Snatches (35/25 kg)
11 Burpees
11 Thrusters (35/25 kg)
11 Pull-Ups

At 11:00:
1 minute Rest in Silence"
3E RPIMA,"For Time
4,000 meter Weighted Run (11/6 kg)
10 Muscle-Ups
100 Air Squats
50 Push-Ups
25 Pull-Ups
4,000 meter Weighted Run (11/6 kg)"
4th of July 1776,"4 Rounds for Time
300 meter Run
24 Toes-to-Bars
24 Box Jumps (24/20 in)
24 Goblet Squats (55/35 lb)
24 Hand Release Push-Ups
24 calorie Bike/Row (alternate each round)
24 Air Squats"
5 Reps Snatch,"For Load
5 Snatches

Time Cap: 3 minutes"
53E RT,"AMRAP in 20 minutes
200 meter Run
5 Burpee Pull-Up
10 Box Jumps (24/20 in)
10 Push-Ups
10 Air Squats"
5K Row,"5,000 meter Row"
6 Pack,"5 Rounds for Time
30 calorie Assault Air Bike
25 Sit-Ups
20 Lunges
15 Kettlebell Swings (60/45 lb)
10 Push-Ups
5 Chest-to-Bar Pull-Ups"
600 Feet Under,"3 Rounds for Time
100 ft Handstand Walk
7 Muscle-Ups
33 ft Sandbag Lunges

Time Cap: 8 minutes"
7/4/1776,"7 Rounds For Time
4 Bench Presses (245/165 lb)
17 Hip Extensions

Cash Out: 76 calorie Row"
7/7,"For Time with a Running Clock
0:00-1:00 Rest in silence
1:00-2:00 7 Squat Cleans (50/35 kg)
2:00-3:00 7 Strict Presses (50/35 kg)
3:00-4:00 5 Overhead Squats (50/35 kg)
4:00-7:00 52 Pull-Ups

Starting at 7:00:
1 mile Run"
8 Crazy Nights,"8 Rounds for Time
8 Pull-Ups
8 Box Jumps (24/20 in)
8 Unbroken Wall Ball Shots (20/14 lb)
8 Push-Ups
8 Alternating Lunges
8 Ring Dips
8 Burpees
8 Double-Unders"
9/11,"For Time
2,001 meter Row

On every even minute, complete:
9 Push Presses (95/65 lb)

On every odd minute, complete:
11 Front Squats (95/65 lb)"
9/11,"For Time
Buy-In: 2,001 meter Row

Directly into, 3 Rounds of:
9 Thrusters (135/95 lb)
11 Toes-to-Bars
9 Snatches (135/95 lb)
11 Toes-to-Bars"
9/11 Partner Workout,"For Time (with a Partner)
Buy-In: 2,001 meter Row

Directly into, 4 Rounds of:
9 Rope Climbs
11 Bear Complexes (135/95 lb)*

Cash-Out: 2,977 meter Row

*1 Bear Complex consists of: 1 Power Clean, 1 Front Squat, 1 Push Press, 1 Back Squat, and 1 Push Press"
9/11 Team WOD,"Partner 1
Max calorie Row (or Bike or Ski)*

Partner 2
9 Bar Facing Burpees
11 Thrusters (95/65 lb)
23 Double-Unders

Partners switch after each round's Double-Unders are completed. 

*Continue until 343 total calories have been accumulated

30 minute time cap"
9/11 Tribute,"For Time
Buy-In: 2,001 meter Row

Directly into:
9 Wall Ball Shots (20/14 lb)
11 Bar Facing Burpees
9 Toes-to-Bar
11 Bar Facing Burpees
9 Snatches (175/125 lb)
11 Bar Facing Burpees
9 Box Jumps (36/30 in)
11 Bar Facing Burpees
9 Chest-to-Bar Pull-Ups
11 Bar Facing Burpees
9 Deadlifts (175/125 lb)
11 Bar Facing Burpees
9 Push Jerks (175/125 lb)
11 Bar Facing Burpees
9 Bar Muscle-Ups
11 Bar Facing Burpees
9 Kettlebell Swings (70/53 lb)
11 Bar Facing Burpees
9 Cleans (175/125 lb)
11 Bar Facing Burpees

Cash-Out: 343 Double-Unders"
9/11 Tribute,"For Time
Buy-In: 2,001 meter Ruck Run (40/20 lb)

Then, 9 Rounds of:
11 Ruck Box Step-Ups (40/20 lb, 24/20 in)
11 Rush Thrusters (40/20 lb)
11 Sandbag Bent Over Rows (40/20 lb)
11 Ruck Power Cleans (40/20 lb)
11 Ruck Push-Ups (40/20 lb)
11 Ruck Swings (40/20 lb)
11 Ruck V-Ups (40/20 lb)
11 Ruck Deadlifts (40/20 lb)
11 Ruck Push Jerks (40/20 lb)

Cash-OutL 2,001 meter Ruck Run (40/20 lb)"
9/11 Tribute,"For Time
2001 meter Run
11 Box Jumps (30/24 in)
11 Thrusters (125/85 lb)
11 Chest-to-Bar Pull-Ups
11 Power Cleans (175/115 lb)
11 Handstand Push-Ups
11 Kettlebell Swings (2/1.5 pood)
11 Toes-to-Bars
11 Deadlifts (170/115 lb)
11 Push Jerks (110/75 lb)
2001 meter Row"
A Christmas Carol,"2 Rounds for Time
75 Toes-to-Bars

Every minute on the minute, complete:
3 Squat Snatches (185/125 lb)

Rest same time it takes to complete the first round."
A Shau,"For Time
Buy-In: 1 mile Run

Then, complete:
10-11-12-13-13-14-16-17-18-19-20 Air Squats
50 meter Farmer's Carry (2x70/50 lb)
9 Push-Ups
3 Pull-Ups
7 Sit-Ups

Buy-Out: 1 mile Run"
Abbate,"For Time
1 mile Run
21 Clean-and-Jerks (155/105 lb)
800 Meter Run
21 Clean-and-Jerks (155/105 lb)
1 mile Run"
Abo,"For Time
Buy-In: 1,974 meter Row

Directly into:
74 Double-Unders
11 Clean-and-Jerks (185/120 lb)
7 Muscle-Ups
20 Handstand Push-Ups
19 Bar Muscle-Ups
9 Squat Snatches (155/105 lb)

Buy-Out: 47 Burpees"
Ache,"AMRAP in 22 minutes
20 Power Cleans (95/65 lb)
40 Toes-to-Bar
60 calorie Air Bike
80 Wall Ball Shots (20/14 lb, 10/9 ft)
100 Double-Unders"
Adam,"5 Rounds for Time
7 Chest-to-Bar Pull-Ups
14 Kettlebell Swings (32/24 kg)
21 Wall Ball Shots (9/6 kg)"
Adam Rand,"EMOM for 15 minutes
From 0:00-5:00, every minute on the minute of:
5 Thrusters (115/85 lb)

From 5:00-10:00, every minute on the minute of:
3 Thrusters (135/95 lb)

From 10:00-15:00, every minute on the minute of:
1 Thruster (165/115 lb)"
AdamBrown,"2 Rounds For Time
24 Deadlifts (295/205 lb)
24 Box Jumps (24/20 in)
24 Wall Ball Shots (20/14 lb)
24 Bench Press (195/125 lb)
24 Box Jumps (24/20 in)
24 Wall Ball Shots (20/14 lb)
24 Cleans (145/100 lb)"
Adderall,"AMRAP in 27 minutes
From 0:00-10:00:
1 mile Run
Max Clean-and-Jerks (135/95 lb)

Rest from 10:00-13:00

From 13:00-20:00:
800 meter Run
Max Power Snatches (115/80 lb)

Rest from 20:00-23:00

From 23:00-27:00:
400 meter Run
Max Thrusters (95/65 lb)"
Adle,"4 Rounds for Time
6 Dumbbell Lungesters (2x35/20 lb)*
29 Up-Downs
200 meter Shuttle Sprints (4x50 m)

*1 Lungester consists of 1 Left-Leg Lunge, 1 Right-Leg Lunge, 1 Thruster"
Adrian,"7 Rounds For Time
3 Forward Rolls
5 Wall Climbs
7 Toes-to-Bar
9 Box Jumps (30/24 in)"
Aeneas,"For Time
5/4 Peg Board Ascents
40 Thrusters (85/55 lb)
33 feet Yoke Carry (425/345 lb)
33 feet Yoke Carry (565/405 lb)
33 feet Yoke Carry (665/445 lb)

Time Cap: 8 minutes"
Agent Billy Clardy III,"AMRAP (in a Team of 3) in 48 minutes
Partner A: Run 400 meters

Partner B performs AMRAP of:
12 Overhead Plate Alternating Lunges (45/25 lb)
6 Burpees to Plate (45/25 lb)
19 Plate Ground-to-Overheads (45/25 lb)

Partner C: Rest

All partners rotate when Partner A finishes the run

Wear a Weight Vest (20/14 lb) throughout"
Ahmaud Arbery,"4 Rounds for Time
400 meter Run
2 minute Plank Hold (cumulative)
23 Box Jumps (24/20 in)
20 Alternating Kettlebell Snatches (50/35 lb)"
Ahmaud Arbery,"For Time
2.23 mile Run

Directly into, 8 Rounds of:
5 Power Cleans (185/125 lb)
25 Wall Ball Shots (20/14 lb)"
Air Force,"For Time
20 Thrusters (95/65 lbs)
20 Sumo Deadlift High-Pulls (95/65 lbs)
20 Push Jerks (95/65 lbs)
20 Overhead Squats (95/65 lbs)
20 Front Squats (95/65 lbs)

4 Burpees at the top of each minute"
Airmen,"6 Rounds for Time
12 Deadlifts (185/125 lb)
21 Burpee Box Jumps (24/20 in)
15 Pull-Ups

Buy-Out: 455 Single-Unders"
Aiyana Jones,"7 Rounds for Time
5 Strict Handstand Push-Ups
16 High Box Jumps (30/24 in)
2 Strict Muscle-Ups"
Akker,"10 Rounds for Time
22 Push-Ups
22 meter Walking Lunges
22 Air Squats
22 meter Bear Crawl
200 meter Run

Time Cap: 50 minutes"
Alamo Siege,"With a Running Clock for Total Reps in 36 minutes
Buy-In:
1,000 meter Row
50/40 calorie Bike
800 meter Run

In the remaining time, AMRAP of:
21 Air Squats
18 Russian Kettlebell Swings (53/35 lb)
13 Thrusters (95/65 lb)
18 Burpees"
Alan,"For Time
1.5 mile Run
60 Plank Shoulder Taps
15 V-Ups
40 Plank Shoulder Taps
15 V-Ups
40 Plank Shoulder Taps
15 V-Ups
60 Plank Shoulder Taps
1.5 mile Run"
Alan Cameron,"21-15-9 Reps for Time
Overhead Squats (45/30 kg)
Handstand Push-Ups
GHD Sit-Ups"
Alan Feinberg,"Every Minute On the Minute (EMOM) for 9 minutes
5 Back Squats (225/155 lb)
5 Burpee Box Jumps (20 in)"
Alexander,"5 Rounds for Time
31 Back Squats (135/95 lb)
12 Power Cleans (185/135 lb)"
Alexander Lopez,"3 Rounds for Time
40 Burpees
30 Kettlebell Swings (55/35 lb)
20 Box Jumps (24/20 in)
10 Pull-Ups

Cash Out:
1 mile Run"
Alice,"4 Rounds (with a Partner) for Time
300 meter Run (together)
30 Power Cleans (30 kg)
30 Burpees
30 calorie Air Bike
30 Air Squats
30 Alternating Lunges
30 calories Air Bike
30 Deadlifts (30 kg)
30 Ball Slams (9/6 kg)
30 calorie Air Bike

Buy-Out: 300 AbMat Sit-Ups"
All Remembered 9/11,"For Time (with a Partner)
749 meter Row
100 Deadlifts (135/95 lb)
749 meter Row
100 Power Cleans (95/65 lb)
749 meter Row
100 Ground-to-Overheads (65/45 lb)
750 meter Row
60 Double-Unders
43 Burpees
8 Squat Clean Thrusters (135/95 lb)"
Allan Morrow,"For Time
1 mile Run
4 Burpee Muscle-Ups
19 Jumping Lunges
94 Sit-Ups

Wear a Weight Vest (20/14 lb)"
Allan Tarasiewicz,"5 Rounds for Time
5 Power Cleans (135/95 lb)
5 Power Snatches (135/95 lb)
5 Squat Cleans (135/95 lb)
5 Squat Snatches (135/95 lb)
50 Double-Unders"
Allen,"For Time
50 foot Handstand Walk
9 Strict Deficit Handstand Push-Ups (4/2 in)
21 Front Squats (135/95 lb)
50 foot Handstand Walk
9 Ring Muscle-Ups
21 Squat Snatches (135/95 lb)
50 foot Handstand Walk
9 Bar Muscle-Ups
21 Thrusters (135/95 lb)
70 Pistols

Time Cap: 30 minutes"
Allyson Felix,"4 Rounds for Time
12 Sumo Deadlifts (135/95 lb)
26 Medicine Ball Bear Hug Air Squats (20/14 lb)
12 Sumo Deadlifts (135/95 lb)
26 Medicine Ball Bear Reverse Lunges (20/14 lb)
400 meter Row"
Almaas Elman,"For Time
3 Rounds of:
26 Hang Cleans (40/30 kg)
11 Push Presses (40/30 kg)
20 Ball Slams (20/15 kg)

Then, 3 Rounds of:
26 Dumbbell Snatches (22.5/15 kg)
11 Up Downs
20 Wall Ball Shots (20/14 lb)

Finally, 3 Rounds of:
26 Kettlebell Swings (24/16 kg)
11 Toes-to-Bars
20 calorie Row"
Althea Garrison,"5 Rounds for Time
32 Jump Squats
7 Bar Facing Burpees 
10 Back Squats (155/105 lb)
7 Bar Facing Burpees"
Alvarez,"For Time
Buy-In: 20 calorie Assault Bike

Then, 11 Rounds of:
1 Sandbag Over Shoulder (150/100 lb)
3 Sandbag Front Squats (150/100 lb)
6 Sandbag Over Bag Facing Burpees
1x 30 foot Sandbag Burden Carry (150/100 lb)

Cash-Out: 68 Burpees Over the Bag"
Always Remembered,"For Time (with a Partner)
Cash-In:
2000 meter Row

Then, 4 Rounds of:
9 Rope Climbs
11 Bear Complexes (135/95 lb)

Cash-Out:
2977 meter Row"
Amanda,"9-7-5 Reps For Time
Muscle-Ups
Squat Snatches (135/95 lbs)"
Amanda .45,"13-11-9-7-5 Reps for Time
Muscle-Ups
Squat Snatches (135/95 lb)

Time cap: 13 minutes for males, 15 minutes for females"
Amanda 2.0,"For Time
9 Ring Muscle-Ups
5 Squat Snatches (205/145 lb)
9 Ring Muscle-Ups
3 Squat Snatches (225/155 lb)
9 Ring Muscle-Ups
1 Squat Snatch (245/165 lb)"
AMBAP,"AMRAP (with a Partner) in 5 minutes
As Many Burpees As Possible (alternating)"
Amber,"18 Rounds for Time
5 Burpees
10 Goblet Squats (20/12 kg)
20 Kettlebell Swings (20/12 kg)
5 Burpees
12 Goblet Lunges (20/12 kg)
18 Push-Ups"
Amer,"4 Rounds for Time
3 Deadlifts (1.5 x Bodyweight)
6 Burpees
9 Box Jumps (24/20 in)"
American Dream,"AMRAP in 20 minutes
Ascending Ladder of:
Power Cleans (200/140 lb)
Muscle-Ups"
AMRAP 4 Autism 2016,"AMRAP (with a Partner) in 32 minutes
42 Snatches (95/65 lb)
42 Burpees
42 Front Rack Lunges (95/65 lb)
42 Thrusters (95/65 lb)
42 Sit-Ups
42 Power Cleans (95/65 lb)
42 Push-Ups (together)
400 meter Concourse Run"
AMRAP 4 Autism 2017,"AMRAP (with a Partner) in 32 minutes
5 Burpees Over Bag
8 Sandbag Thrusters (40/25 lb)
5 Overhead Sandbag Lunges (40/25 lb)
8 Sandbag Over Shoulders (40/25 lb)
400 meter Sandbag Run (40/25 lb)"
AMRAP 4 Autism 2018,"AMRAP (with a Partner) in 32 minutes
58 Burpees Over Sandbag (40/25 lb)
58 Sandbag Thrusters (40/25 lb)
58 Sandbag Over Shoulders (40/25 lb)
400 meter Partner Sandbag Carry Run (40/25 lb)"
